Facility_INSPIRE_ID_cluster,Facility_INSPIRE_ID
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001177.ProductionFacility,FI.EEA/FI0411.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001600.ProductionFacility,FI.EEA/FI0058.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002160.ProductionFacility,FI.EEA/FI0127.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002160.ProductionFacility,FI.EEA/FI0199.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002300.ProductionFacility,FI.EEA/FI0053.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000003492.ProductionFacility,FI.EEA/FI0416.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000016028.ProductionFacility,FI.EEA/FI0047.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000018120.ProductionFacility,FI.EEA/FI0109.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100178732.ProductionFacility,FI.EEA/FI0051.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100180527.ProductionFacility,FI.EEA/FI0084.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100183092.ProductionFacility,FI.EEA/FI0090.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100183092.ProductionFacility,FI.EEA/FI0091.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100184511.ProductionFacility,FI.EEA/FI0114.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100203967.ProductionFacility,FI.EEA/FI0195.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100211305.ProductionFacility,FI.EEA/FI0365.FACILITY
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK47056307.NRZ.FACILITY,SK.EEA/SK0035.FACILITY
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK77062508.NRZ.FACILITY,SK.EEA/SK0028.FACILITY
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK77062508.NRZ.FACILITY,SK.EEA/SK0026.FACILITY
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000311.FACILITY,BE.EEA/BE0025.FACILITY
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000311.FACILITY,BE.EEA/BE0024.FACILITY
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000311.FACILITY,BE.EEA/BE0023.FACILITY
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000311.FACILITY,BE.EEA/BE0022.FACILITY
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000876.FACILITY,BE.EEA/BE0038.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/16019119,DE.EEA/DE0079.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/16019119,DE.EEA/DE0102.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/23022811,DE.EEA/DE0183.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/23023645,DE.EEA/DE0457.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/23023645,DE.EEA/DE0570.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45026985,DE.EEA/DE0005.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45026985,DE.EEA/DE0509.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45028227,DE.EEA/DE0338.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45043366,DE.EEA/DE0811.FACILITY
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-1371304-00000000,DE.EEA/DE0367.FACILITY
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-1383701-00000000,DE.EEA/DE0152.FACILITY
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-1383701-00000000,DE.EEA/DE0003.FACILITY
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-2264692-00000000,DE.EEA/DE0330.FACILITY
https://registry.gdi-de.org/id/de.he.0945.de7.pf.eu_industrie/20000102,DE.EEA/DE0364.FACILITY
https://registry.gdi-de.org/id/de.he.0945.de7.pf.eu_industrie/20000380,DE.EEA/DE0113.FACILITY
https://registry.gdi-de.org/id/de.he.0945.de7.pf.eu_industrie/20006472,DE.EEA/DE0804.FACILITY
https://registry.gdi-de.org/id/de.he.0945.de7.pf.eu_industrie/680031099,DE.EEA/DE0184.FACILITY
https://registry.gdi-de.org/id/de.hh/pf.bube-eureg_/3277,DE.EEA/DE0240.FACILITY
https://registry.gdi-de.org/id/de.hh/pf.bube-eureg_/3340,DE.EEA/DE0233.FACILITY
https://registry.gdi-de.org/id/de.ni.mu/06060117340,DE.EEA/DE0609.FACILITY
https://registry.gdi-de.org/id/de.ni.mu/10257673950,DE.EEA/DE1053.FACILITY
https://registry.gdi-de.org/id/de.ni.mu/10257673950,DE.EEA/DE1052.FACILITY
