Facility_INSPIRE_ID_cluster,Facility_INSPIRE_ID
ES.CAED/009193000.FACILITY,ES.EEA/891.FACILITY
ES.CAED/009221000.FACILITY,ES.EEA/6389.FACILITY
ES.CAED/009267000.FACILITY,ES.CAED/006973000.FACILITY
ES.CAED/009269000.FACILITY,ES.CAED/006973000.FACILITY
ES.CAED/009297000.FACILITY,ES.CAED/002503000.FACILITY
ES.CAED/009303000.FACILITY,ES.CAED/009683000.FACILITY
ES.CAED/009353000.FACILITY,ES.CAED/000958000.FACILITY
ES.CAED/009575000.FACILITY,ES.CAED/005534000.FACILITY
ES.CAED/009603000.FACILITY,ES.CAED/001110000.FACILITY
ES.CAED/009654000.FACILITY,ES.CAED/006686000.FACILITY
ES.CAED/009679000.FACILITY,ES.CAED/007844000.FACILITY
ES.CAED/009745000.FACILITY,ES.EEA/3220.FACILITY
ES.CAED/009781000.FACILITY,ES.CAED/000958000.FACILITY
ES.CAED/009817000.FACILITY,ES.EEA/9817.FACILITY
ES.CAED/009820000.FACILITY,ES.EEA/9820.FACILITY
ES.CAED/009822000.FACILITY,ES.EEA/9822.FACILITY
ES.CAED/009825000.FACILITY,ES.EEA/9825.FACILITY
ES.CAED/009832000.FACILITY,ES.EEA/9832.FACILITY
ES.CAED/009835000.FACILITY,ES.EEA/9835.FACILITY
ES.CAED/009837000.FACILITY,ES.EEA/9837.FACILITY
ES.CAED/009840000.FACILITY,ES.EEA/9840.FACILITY
ES.CAED/009841000.FACILITY,ES.EEA/9841.FACILITY
ES.CAED/009845000.FACILITY,ES.EEA/9845.FACILITY
ES.CAED/009849000.FACILITY,ES.EEA/9849.FACILITY
ES.CAED/009854000.FACILITY,ES.EEA/9854.FACILITY
ES.CAED/009855000.FACILITY,ES.EEA/9855.FACILITY
ES.CAED/009856000.FACILITY,ES.EEA/9856.FACILITY
ES.CAED/009860000.FACILITY,ES.EEA/9860.FACILITY
ES.CAED/009865000.FACILITY,ES.EEA/9865.FACILITY
ES.CAED/009867000.FACILITY,ES.EEA/9876.FACILITY
ES.CAED/009869000.FACILITY,ES.EEA/9869.FACILITY
ES.CAED/009873000.FACILITY,ES.EEA/9873.FACILITY
ES.CAED/009875000.FACILITY,ES.EEA/9875.FACILITY
ES.CAED/009876000.FACILITY,ES.EEA/9876.FACILITY
ES.CAED/009878000.FACILITY,ES.EEA/9878.FACILITY
ES.CAED/009881000.FACILITY,ES.EEA/9881.FACILITY
ES.CAED/009882000.FACILITY,ES.EEA/9882.FACILITY
ES.CAED/009883000.FACILITY,ES.EEA/9883.FACILITY
ES.CAED/009884000.FACILITY,ES.EEA/9884.FACILITY
ES.CAED/009887000.FACILITY,ES.EEA/9887.FACILITY
ES.CAED/009889000.FACILITY,ES.EEA/9889.FACILITY
ES.CAED/009891000.FACILITY,ES.EEA/9891.FACILITY
ES.CAED/009892000.FACILITY,ES.EEA/9892.FACILITY
ES.CAED/009894000.FACILITY,ES.EEA/9894.FACILITY
ES.CAED/009895000.FACILITY,ES.EEA/9895.FACILITY
ES.CAED/009897000.FACILITY,ES.EEA/9897.FACILITY
ES.CAED/009903000.FACILITY,ES.EEA/9903.FACILITY
ES.CAED/009905000.FACILITY,ES.EEA/9905.FACILITY
ES.CAED/009906000.FACILITY,ES.EEA/9906.FACILITY
ES.CAED/009910000.FACILITY,ES.EEA/9910.FACILITY
ES.CAED/009911000.FACILITY,ES.EEA/9911.FACILITY
ES.CAED/009914000.FACILITY,ES.EEA/9914.FACILITY
ES.CAED/009923000.FACILITY,ES.EEA/9923.FACILITY
ES.CAED/009925000.FACILITY,ES.EEA/9925.FACILITY
ES.CAED/009928000.FACILITY,ES.EEA/9928.FACILITY
ES.CAED/009929000.FACILITY,ES.EEA/9929.FACILITY
ES.CAED/009932000.FACILITY,ES.EEA/9932.FACILITY
ES.CAED/009934000.FACILITY,ES.EEA/9934.FACILITY
ES.CAED/009936000.FACILITY,ES.EEA/9936.FACILITY
ES.CAED/009937000.FACILITY,ES.EEA/9937.FACILITY
ES.CAED/009938000.FACILITY,ES.EEA/9938.FACILITY
ES.CAED/009939000.FACILITY,ES.EEA/9939.FACILITY
ES.CAED/009941000.FACILITY,ES.CAED/005718000.FACILITY
ES.CAED/009942000.FACILITY,ES.EEA/9942.FACILITY
ES.CAED/009950000.FACILITY,ES.EEA/9950.FACILITY
ES.CAED/009955000.FACILITY,ES.EEA/9955.FACILITY
ES.CAED/009956000.FACILITY,ES.EEA/9956.FACILITY
ES.CAED/009957000.FACILITY,ES.EEA/9957.FACILITY
ES.CAED/009959000.FACILITY,ES.EEA/9959.FACILITY
ES.CAED/009961000.FACILITY,ES.EEA/9961.FACILITY
ES.CAED/009962000.FACILITY,ES.EEA/9962.FACILITY
ES.CAED/009963000.FACILITY,ES.EEA/9963.FACILITY
ES.CAED/009964000.FACILITY,ES.EEA/9964.FACILITY
ES.CAED/009965000.FACILITY,ES.EEA/9965.FACILITY
ES.CAED/009971000.FACILITY,ES.EEA/9971.FACILITY
ES.CAED/009973000.FACILITY,ES.EEA/9973.FACILITY
ES.CAED/009974000.FACILITY,ES.EEA/9974.FACILITY
ES.CAED/009975000.FACILITY,ES.EEA/9975.FACILITY
ES.CAED/009977000.FACILITY,ES.EEA/9977.FACILITY
ES.CAED/009980000.FACILITY,ES.EEA/9980.FACILITY
ES.CAED/009981000.FACILITY,ES.EEA/9981.FACILITY
ES.CAED/009999000.FACILITY,ES.EEA/9999.FACILITY
ES.CAED/010013000.FACILITY,ES.EEA/10013.FACILITY
ES.CAED/010014000.FACILITY,ES.EEA/10014.FACILITY
ES.CAED/010018000.FACILITY,ES.EEA/10018.FACILITY
ES.CAED/010019000.FACILITY,ES.EEA/10019.FACILITY
ES.CAED/010022000.FACILITY,ES.EEA/10022.FACILITY
ES.CAED/010033000.FACILITY,ES.EEA/10033.FACILITY
ES.CAED/010043000.FACILITY,ES.EEA/9889.FACILITY
ES.CAED/010044000.FACILITY,ES.EEA/10044.FACILITY
ES.CAED/010045000.FACILITY,ES.EEA/10045.FACILITY
ES.CAED/010046000.FACILITY,ES.EEA/10046.FACILITY
ES.CAED/010050000.FACILITY,ES.EEA/10050.FACILITY
ES.CAED/010096000.FACILITY,ES.EEA/10096.FACILITY
ES.CAED/010099000.FACILITY,ES.CAED/001153000.FACILITY
ES.CAED/010114000.FACILITY,ES.EEA/9999.FACILITY
ES.CAED/010136000.FACILITY,ES.EEA/9875.FACILITY
ES.CAED/010168000.FACILITY,ES.CAED/001153000.FACILITY
ES.CAED/010170000.FACILITY,ES.EEA/9897.FACILITY
ES.CAED/010180000.FACILITY,ES.EEA/9854.FACILITY
ES.CAED/010189000.FACILITY,ES.EEA/9903.FACILITY
ES.CAED/010191000.FACILITY,ES.EEA/9903.FACILITY
ES.CAED/010200000.FACILITY,ES.EEA/9889.FACILITY
ES.CAED/010218000.FACILITY,ES.EEA/8285.FACILITY
ES.CAED/010328000.FACILITY,ES.EEA/10046.FACILITY
ES.CAED/010329000.FACILITY,ES.EEA/10045.FACILITY
ES.CAED/010330000.FACILITY,ES.EEA/10046.FACILITY
ES.CAED/010343000.FACILITY,ES.CAED/007248000.FACILITY
ES.CAED/010358000.FACILITY,ES.CAED/004300000.FACILITY
ES.CAED/010376000.FACILITY,ES.CAED/006973000.FACILITY
ES.CAED/010393000.FACILITY,ES.EEA/9875.FACILITY
ES.CAED/010394000.FACILITY,ES.CAED/009617000.FACILITY
ES.CAED/010400000.FACILITY,ES.EEA/9835.FACILITY
ES.CAED/010404000.FACILITY,ES.EEA/9897.FACILITY
ES.CAED/010410000.FACILITY,ES.CAED/002957000.FACILITY
ES.CAED/010415000.FACILITY,ES.EEA/9897.FACILITY
ES.CAED/010417000.FACILITY,ES.CAED/000939000.FACILITY
ES.CAED/010428000.FACILITY,ES.CAED/007609000.FACILITY
ES.CAED/010429000.FACILITY,ES.CAED/007609000.FACILITY
ES.CAED/010443000.FACILITY,ES.CAED/001153000.FACILITY
ES.CAED/010479000.FACILITY,ES.CAED/001153000.FACILITY
ES.CAED/010497000.FACILITY,ES.CAED/008845000.FACILITY
ES.CAED/010618000.FACILITY,ES.EEA/9855.FACILITY
ES.CAED/010662000.FACILITY,ES.EEA/9835.FACILITY
ES.CAED/010669000.FACILITY,ES.CAED/010622000.FACILITY
ES.CAED/010672000.FACILITY,ES.EEA/9894.FACILITY
ES.CAED/010680000.FACILITY,ES.EEA/9860.FACILITY
ES.CAED/010690000.FACILITY,ES.EEA/9854.FACILITY
ES.CAED/010712000.FACILITY,ES.EEA/10033.FACILITY
ES.CAED/010727000.FACILITY,ES.EEA/9869.FACILITY
ES.CAED/010740000.FACILITY,ES.EEA/9865.FACILITY
ES.CAED/010741000.FACILITY,ES.EEA/9865.FACILITY
ES.CAED/010792000.FACILITY,ES.CAED/003521000.FACILITY
ES.CAED/010796000.FACILITY,ES.CAED/008620000.FACILITY
ES.CAED/010797000.FACILITY,ES.CAED/001287000.FACILITY
ES.CAED/010819000.FACILITY,ES.EEA/10023.FACILITY
ES.CAED/010883000.FACILITY,ES.CAED/000518000.FACILITY
ES.CAED/010932000.FACILITY,ES.EEA/9897.FACILITY
ES.CAED/010933000.FACILITY,ES.CAED/009692000.FACILITY
